,Car_Title,Manufactured_Year,vehicle_runs_on_road,Vehicle_Fuel_type,Vehicle_mode,Price
205,Volvo XC60 D5 Inscription,2020,"15,000 kms ", Diesel , Automatic,₹ 61.00 Lakh
206,Mercedes-Benz GLC 220d 4MATIC,2020,"24,000 kms ", Diesel , Automatic,₹ 55.50 Lakh
207,Toyota Glanza G,2020,"15,000 kms ", Petrol , Manual,₹ 7.50 Lakh
208,BMW 6 Series GT 620d Luxury Line 2019-2021,2020,"50,000 kms ", Diesel , Automatic,₹ 60.50 Lakh
209,Mahindra Scorpio S9,2020,"63,000 kms ", Diesel , Manual,₹ 14.99 Lakh
210,Honda City ZX MT,2020,"17,873 kms ", Petrol , Manual,₹ 11.50 Lakh
211,MG Hector Sharp DCT,2020,"14,000 kms ", Petrol , Automatic,₹ 16.90 Lakh
212,Kia Seltos GTX Plus DCT,2020,"25,000 kms ", Petrol , Automatic,₹ 17.40 Lakh
213,Tata Tiago XE,2020,"34,886 kms ", Petrol , Manual,₹ 4.50 Lakh
214,Maruti Wagon R CNG LXI Opt,2020,"26,912 kms ", CNG , Manual,₹ 5.00 Lakh
215,Kia Seltos HTX IVT,2020,"26,000 kms ", Petrol , Automatic,₹ 15.00 Lakh
216,Hyundai Verna SX Opt AT Diesel,2020,"1,01,683 kms ", Diesel , Automatic,₹ 12.50 Lakh
217,BMW X5 xDrive 30d xLine,2020,"25,000 kms ", Diesel , Automatic,₹ 82.00 Lakh
218,Mercedes-Benz GLS 400d 4MATIC,2020,"18,000 kms ", Diesel , Automatic,₹ 1.20 Cr
219,Mini 3 DOOR Cooper S,2020,"13,000 kms ", Petrol , Automatic,₹ 39.00 Lakh
220,Maruti Ciaz Sigma BSIV,2020,"57,182 kms ", Petrol , Manual,₹ 7.50 Lakh
221,BMW X1 sDrive 20d xLine,2020,"27,000 kms ", Diesel , Automatic,₹ 34.00 Lakh
222,Hyundai i20 Sportz,2020,"40,000 kms ", Petrol , Manual,₹ 7.00 Lakh
223,Kia Seltos HTX G,2020,"16,383 kms ", Petrol , Manual,₹ 14.20 Lakh
224,Toyota Innova Crysta 2.4 GX 7 STR AT,2021,"11,900 kms ", Diesel , Automatic,₹ 23.90 Lakh
225,Toyota Innova Crysta 2.4 ZX 7 STR AT,2021,"16,000 kms ", Diesel , Automatic,₹ 29.00 Lakh
226,Mercedes-Benz GLE 300d,2021,"42,000 kms ", Diesel , Automatic,₹ 74.50 Lakh
227,Jaguar F-Pace 2.0 R-Dynamic S Diesel,2021,"10,000 kms ", Diesel , Automatic,₹ 72.50 Lakh
228,Audi A6 45 TFSI Technology with Matrix,2021,"20,000 kms ", Petrol , Automatic,₹ 56.00 Lakh
229,Hyundai Creta SX Turbo,2021,"33,000 kms ", Petrol , Automatic,₹ 18.95 Lakh
230,Mercedes-Benz GLC Coupe 300d 4MATIC,2021,"25,000 kms ", Diesel , Automatic,₹ 70.00 Lakh
231,Mercedes-Benz E-Class Expression E 200,2021,"5,000 kms ", Petrol , Automatic,₹ 70.00 Lakh
232,Hyundai Venue SX Opt Diesel,2021,"14,120 kms ", Diesel , Manual,₹ 11.95 Lakh
233,Tata New Safari XZA Plus Kaziranga Edition AT,2021,"31,000 kms ", Diesel , Automatic,₹ 20.95 Lakh
234,BMW 3 Series 320d Luxury Line,2021,"25,000 kms ", Diesel , Automatic,₹ 45.50 Lakh
235,Maruti Vitara Brezza VXI,2021,"22,000 kms ", Petrol , Manual,₹ 9.25 Lakh
236,Hyundai Verna SX,2021,"13,000 kms ", Petrol , Manual,₹ 11.50 Lakh
237,Mercedes-Benz A-Class Limousine A 200,2021,"11,000 kms ", Petrol , Automatic,₹ 42.00 Lakh
238,BMW X3 xDrive 20d Luxury Line,2021,"19,000 kms ", Diesel , Automatic,₹ 59.75 Lakh
239,Mercedes-Benz GLE 300d,2021,"42,000 kms ", Diesel , Automatic,₹ 74.50 Lakh
240,Mercedes-Benz GLS 400d 4MATIC,2021,"3,000 kms ", Diesel , Automatic,₹ 1.30 Cr
241,Renault KWID 1.0 RXL,2021,"2,422 kms ", Petrol , Manual,₹ 4.10 Lakh
242,Mercedes-Benz C-Class Progressive C 200,2021,"12,000 kms ", Petrol , Automatic,₹ 47.50 Lakh
243,Mahindra XUV300 W6,2021,"5,288 kms ", Petrol , Manual,₹ 9.75 Lakh
244,Renault Triber RXE,2021,"60,755 kms ", Petrol , Manual,₹ 5.50 Lakh
245,Mercedes-Benz C-Class Progressive C 200,2021,"12,000 kms ", Petrol , Automatic,₹ 47.50 Lakh
246,MG Gloster Savvy 7-Str,2021,"11,000 kms ", Diesel , Automatic,₹ 39.65 Lakh
247,Jeep Compass Model S 4X4 Diesel AT,2021,"14,000 kms ", Diesel , Automatic,₹ 29.50 Lakh
248,BMW X1 sDrive20i xLine,2021,"17,000 kms ", Petrol , Automatic,₹ 39.75 Lakh
249,Honda City i-VTEC V,2021,"16,000 kms ", Petrol , Manual,₹ 11.90 Lakh
250,Mercedes-Benz E-Class Expression E 220d,2022,"2,000 kms ", Diesel , Automatic,₹ 76.25 Lakh
